# Business Hours Pattern - High during 9-17, low otherwise
# Expected: Recommendation = Schedule-based scaling
# Format: timestamp_offset_minutes,cpu_millicores,memory_bytes,request_cpu,request_memory,hour_of_day
# Day 1
0,50,268435456,500,1073741824,0
60,45,268435456,500,1073741824,1
120,48,268435456,500,1073741824,2
180,52,268435456,500,1073741824,3
240,47,268435456,500,1073741824,4
300,55,268435456,500,1073741824,5
360,60,268435456,500,1073741824,6
420,80,402653184,500,1073741824,7
480,350,805306368,500,1073741824,8
540,420,939524096,500,1073741824,9
600,450,939524096,500,1073741824,10
660,440,939524096,500,1073741824,11
720,380,805306368,500,1073741824,12
780,430,939524096,500,1073741824,13
840,460,939524096,500,1073741824,14
900,445,939524096,500,1073741824,15
960,400,805306368,500,1073741824,16
1020,320,671088640,500,1073741824,17
1080,150,402653184,500,1073741824,18
1140,80,268435456,500,1073741824,19
1200,60,268435456,500,1073741824,20
1260,55,268435456,500,1073741824,21
1320,50,268435456,500,1073741824,22
1380,48,268435456,500,1073741824,23
# Day 2 (similar pattern)
1440,52,268435456,500,1073741824,0
1500,47,268435456,500,1073741824,1
1560,50,268435456,500,1073741824,2
1620,48,268435456,500,1073741824,3
1680,55,268435456,500,1073741824,4
1740,52,268435456,500,1073741824,5
1800,65,268435456,500,1073741824,6
1860,85,402653184,500,1073741824,7
1920,360,805306368,500,1073741824,8
1980,430,939524096,500,1073741824,9
2040,455,939524096,500,1073741824,10
2100,445,939524096,500,1073741824,11
2160,390,805306368,500,1073741824,12
2220,440,939524096,500,1073741824,13
2280,465,939524096,500,1073741824,14
2340,450,939524096,500,1073741824,15
2400,410,805306368,500,1073741824,16
2460,330,671088640,500,1073741824,17
2520,160,402653184,500,1073741824,18
2580,85,268435456,500,1073741824,19
2640,65,268435456,500,1073741824,20
2700,58,268435456,500,1073741824,21
2760,52,268435456,500,1073741824,22
2820,50,268435456,500,1073741824,23
