# High Usage Pattern - Consistently using close to limits
# Expected: Recommendation = Scale UP (resources are constrained)
# Format: timestamp_offset_minutes,cpu_millicores,memory_bytes,request_cpu,request_memory
0,480,1006632960,500,1073741824
5,485,1023410176,500,1073741824
10,492,1040187392,500,1073741824
15,478,1006632960,500,1073741824
20,495,1040187392,500,1073741824
25,488,1023410176,500,1073741824
30,482,1006632960,500,1073741824
35,490,1040187392,500,1073741824
40,487,1023410176,500,1073741824
45,495,1040187392,500,1073741824
50,479,1006632960,500,1073741824
55,492,1040187392,500,1073741824
60,486,1023410176,500,1073741824
65,488,1023410176,500,1073741824
70,494,1040187392,500,1073741824
75,481,1006632960,500,1073741824
80,490,1040187392,500,1073741824
85,485,1023410176,500,1073741824
90,493,1040187392,500,1073741824
95,478,1006632960,500,1073741824
100,489,1023410176,500,1073741824
105,496,1056964608,500,1073741824
110,483,1006632960,500,1073741824
115,491,1040187392,500,1073741824
120,487,1023410176,500,1073741824
125,494,1040187392,500,1073741824
130,480,1006632960,500,1073741824
135,488,1023410176,500,1073741824
140,495,1056964608,500,1073741824
145,482,1006632960,500,1073741824
150,490,1040187392,500,1073741824
155,486,1023410176,500,1073741824
160,493,1040187392,500,1073741824
165,479,1006632960,500,1073741824
170,491,1040187392,500,1073741824
175,484,1023410176,500,1073741824
180,497,1056964608,500,1073741824
