# High Variance Pattern - Metrics jumping wildly (100m → 500m → 50m → 400m)
# Expected: Lower confidence score due to unpredictable pattern (high CV)
# Format: timestamp_offset_minutes,cpu_millicores,memory_bytes,request_cpu,request_memory
0,100,536870912,500,1073741824
5,450,838860800,500,1073741824
10,80,419430400,500,1073741824
15,420,855638016,500,1073741824
20,150,603979776,500,1073741824
25,490,905969664,500,1073741824
30,70,402653184,500,1073741824
35,380,805306368,500,1073741824
40,120,553648128,500,1073741824
45,500,939524096,500,1073741824
50,60,385875968,500,1073741824
55,440,872415232,500,1073741824
60,180,654311424,500,1073741824
65,350,771751936,500,1073741824
70,90,469762048,500,1073741824
75,470,889192448,500,1073741824
80,110,520093696,500,1073741824
85,400,822083584,500,1073741824
90,140,587202560,500,1073741824
95,480,922746880,500,1073741824
100,75,436207616,500,1073741824
105,460,905969664,500,1073741824
110,130,570425344,500,1073741824
115,390,788529152,500,1073741824
120,95,486539264,500,1073741824
125,450,855638016,500,1073741824
130,85,452984832,500,1073741824
135,420,838860800,500,1073741824
140,160,620756992,500,1073741824
145,490,939524096,500,1073741824
150,70,402653184,500,1073741824
155,380,805306368,500,1073741824
160,120,536870912,500,1073741824
165,500,956301312,500,1073741824
170,60,385875968,500,1073741824
175,440,872415232,500,1073741824
180,170,637534208,500,1073741824
