# Memory Leak Pattern - Memory continuously grows without drops
# Expected: Recommendation = Don't Scale, Alert Memory Leak
# Format: timestamp_offset_minutes,cpu_millicores,memory_bytes,request_cpu,request_memory
0,100,536870912,500,1073741824
5,102,553648128,500,1073741824
10,98,570425344,500,1073741824
15,105,587202560,500,1073741824
20,101,603979776,500,1073741824
25,99,620756992,500,1073741824
30,103,637534208,500,1073741824
35,100,654311424,500,1073741824
40,97,671088640,500,1073741824
45,104,687865856,500,1073741824
50,101,704643072,500,1073741824
55,98,721420288,500,1073741824
60,102,738197504,500,1073741824
65,100,754974720,500,1073741824
70,99,771751936,500,1073741824
75,103,788529152,500,1073741824
80,101,805306368,500,1073741824
85,98,822083584,500,1073741824
90,104,838860800,500,1073741824
95,100,855638016,500,1073741824
100,102,872415232,500,1073741824
105,99,889192448,500,1073741824
110,101,905969664,500,1073741824
115,103,922746880,500,1073741824
120,100,939524096,500,1073741824
125,98,956301312,500,1073741824
130,102,973078528,500,1073741824
135,101,989855744,500,1073741824
140,99,1006632960,500,1073741824
145,104,1023410176,500,1073741824
150,100,1040187392,500,1073741824
155,102,1056964608,500,1073741824
160,98,1073741824,500,1073741824
165,101,1090519040,500,1073741824
170,103,1107296256,500,1073741824
175,99,1124073472,500,1073741824
180,100,1140850688,500,1073741824
